#Special Line;#Line Number;#Graphic;#Text
71;0;;N0
71;1;;N1
71;2;;N2
71;3;;N3
71;4;;N4
71;5;;N5
71;6;;N6
71;7;;N7
71;8;;N8
71;9;;N9
71;10;Symbols\LinieN10.jpg;
71;11;Symbols\LinieN11.jpg;
71;12;;N12
71;13;;N13
71;14;;N14
71;15;;N15
71;16;;N16
71;17;Symbols\LinieN17.jpg;
71;18;;N18
71;21;;N21
72;0;;0N
72;1;;1N
72;2;;2N
72;3;;3N
72;4;;4N
72;5;;5N
72;6;;6N
72;7;;7N
72;8;;8N
72;9;;9N
72;10;Symbols\Linie10N.jpg;
72;11;Symbols\Linie11N.jpg;
72;12;;12N
72;13;;13N
72;14;;14N
72;15;;15N
72;16;;16N
72;17;Symbols\Linie17N.jpg;
72;18;;18N
72;21;;21N
73;0;;E0
73;1;;E1
73;2;;E2
73;3;;E3
73;4;;E4
73;5;;E5
73;6;;E6
73;7;;E7
73;8;;E8
73;9;;E9
73;10;Symbols\LinieE10.jpg;
73;11;Symbols\LinieE11.jpg;
73;12;;E12
73;13;;E13
73;14;;E14
73;15;;E15
73;16;;E16
73;17;Symbols\LinieE17.jpg;
73;18;;E18
73;21;;E21
82;*;Symbols\DS001a_82.jpg;
83;*;Symbols\DS001a_83.jpg;
84;*;Symbols\DS001a_84.jpg;
85;*;Symbols\DS001a_85.jpg;
86;*;Symbols\DS001a_86.jpg;
87;*;Symbols\DS001a_87.jpg;
88;*;Symbols\DS001a_88.jpg;
89;*;Symbols\DS001a_89.jpg;
90;*;Symbols\DS001a_90.jpg;
91;*;Symbols\DS001a_91.jpg;
92;*;Symbols\DS001a_92.jpg;
93;*;Symbols\DS001a_93.jpg;
94;*;Symbols\DS001a_94.jpg;
95;*;Symbols\DS001a_95.jpg;
96;*;Symbols\DS001a_96.jpg;
97;*;Symbols\DS001a_97.jpg;
98;*;Symbols\DS001a_98.jpg;
99;*;Symbols\DS001a_99.jpg;
*;10;Symbols\Linie10.jpg;
*;11;Symbols\Linie11.jpg;
*;17;Symbols\Linie17.jpg;
